player.name,season,player.team.code,player.team.tvCodes,player.team.name,minutesPlayed,cluster,cluster_prob_max,prob_cluster_0,prob_cluster_1,prob_cluster_2,prob_cluster_3,Height,offensiveReboundsPercentage,defensiveReboundsPercentage,assistsRatio,turnoversRatio,blocks,steals,pointsScored,usageProxy,pir,freeThrowsRate,freeThrowsPercentage,fieldGoalsAttempted,twoPointersPercentage,threePointersPercentage,3FGA_Pct,Corner_3FGA_Pct,0_1m_FGA_Pct,1_3.5m_FGA_Pct,3.5m_3pt_FGA_Pct
"ZUBKOV, ANDREY",2020,DYR,ZEN,Zenit St Petersburg,16.044444444444444,0,0.6304392573006954,0.6304392573006954,0.3644100865214416,0.005150656177863004,0.0,204.99999999999997,0.039,0.131,0.175,0.142,0.4,5.0,82.1,0.3864265927977839,82.1,0.228,0.647,62.1,0.602,0.377,40.94,9.84,6.71,44.3,8.05
"NOUA, AMINE",2020,ASV,ASV,LDLC ASVEL Villeurbanne,15.527976190476192,0,0.9876298610204672,0.9876298610204672,1.2413958612123445e-28,0.01237013897953238,0.0,202.0,0.027,0.173,0.131,0.085,6.2,6.2,79.4,0.4057193238011269,80.6,0.163,0.762,73.1,0.485,0.317,48.84,26.98,8.53,35.66,6.98
"MICOV, VLADIMIR",2020,MIL,AXM,EA7 Emporio Armani Milan,19.081666666666667,0,0.9983968671065879,0.9983968671065879,9.160499678224503e-05,0.0015115278966292165,0.0,200.99999999999997,0.013,0.088,0.14,0.121,0.9,8.9,85.8,0.3773255306140274,75.0,0.162,0.75,69.0,0.5,0.4579999999999999,32.43,43.75,3.38,39.86,24.32
"CAUSEUR, FABIEN",2020,MAD,RMB,Real Madrid,14.108928571428573,1,0.9999923764414653,2.1321098902289326e-06,0.9999923764414653,5.491448644440857e-06,0.0,196.0,0.012,0.083,0.184,0.129,0.0,5.5,81.0,0.552841412479433,69.5,0.3379999999999999,0.659,59.8,0.514,0.417,46.15,23.33,6.15,46.92,0.77
"KARASEV, SERGEY",2020,KHI,KHI,BC Khimki,18.660714285714285,0,0.9280555867115232,0.9280555867115232,0.0054234061903217145,0.06652100709815412,0.0,200.0,0.022,0.11,0.146,0.108,1.1,15.1,85.7,0.3536842105263157,81.4,0.266,0.879,66.8,0.617,0.312,62.1,40.26,4.84,23.39,9.68
"HARRISON, AARON",2020,OLY,OLY,Olympiacos Piraeus,17.5,0,0.9913893418601275,0.9913893418601275,0.004726955992542281,0.0038837021473305646,0.0,198.0,0.013,0.1159999999999999,0.125,0.0819999999999999,1.3,5.6,75.4,0.4914285714285714,62.9,0.358,0.807,68.5,0.415,0.266,59.12,19.15,1.89,23.27,15.72
"KAHUDI, CHARLES",2020,ASV,ASV,LDLC ASVEL Villeurbanne,21.208602150537637,0,0.9795664799050255,0.9795664799050255,0.020398860527035614,3.465956793889668e-05,0.0,197.0,0.03,0.114,0.143,0.103,1.0,11.8,85.2,0.3111944838775096,83.7,0.23,0.906,68.5,0.441,0.3939999999999999,51.08,32.39,5.04,24.46,19.42
"SEDEKERSKIS, TADAS",2020,BAS,TDS,Baskonia Vitoria-Gasteiz,16.276041666666668,2,0.9999387401874431,6.125981255656781e-05,1.9147450045361727e-23,0.9999387401874431,0.0,200.0,0.047,0.17,0.243,0.128,5.4,12.2,74.9,0.2826239999999999,121.5,0.2769999999999999,0.7829999999999999,56.099999999999994,0.5660000000000001,0.367,36.14,30.0,20.48,40.96,2.41
"ORIOLA, PIERRE",2020,BAR,FCB,FC Barcelona,15.016666666666666,2,1.0,3.898393223127052e-20,1.169030207906612e-40,1.0,0.0,208.0,0.121,0.171,0.122,0.182,4.9,2.8,82.7,0.4328523862375139,87.6,0.381,0.589,59.6,0.569,0.5,6.8,0.0,21.77,58.5,12.93
"ANDERSON, JAMES",2020,IST,EFS,Anadolu Efes Istanbul,15.148373983739836,2,0.9999618704849783,2.5760862218618647e-05,1.2368652803731828e-05,0.9999618704849783,0.0,199.0,0.062,0.16,0.17,0.088,3.3,9.9,94.2,0.2970615859385482,128.2,0.43,0.7140000000000001,62.4,0.54,0.451,44.74,15.69,9.65,38.6,7.02
"HOLLINS, AUSTIN",2020,DYR,ZEN,Zenit St Petersburg,19.36184210526316,0,0.9999993764022771,0.9999993764022771,5.983803424886495e-07,2.5217380194969477e-08,0.0,192.0,0.035,0.078,0.099,0.09,2.4,11.1,92.6,0.4545022086306489,66.3,0.187,0.83,75.0,0.52,0.369,59.36,12.75,8.76,21.51,10.36
"HILLIARD, DARRUN",2020,CSK,CSK,CSKA Moscow,19.409009009009008,0,0.9959343643934881,0.9959343643934881,0.004062481957227948,3.1536492838850426e-06,0.0,198.0,0.02,0.108,0.103,0.098,1.8,6.0,80.8,0.5564426290382474,54.3,0.19,0.857,73.8,0.441,0.327,50.85,24.0,3.05,31.19,14.92
"BENTIL, BENJAMIN",2020,PAN,PAO,Panathinaikos AKTOR Athens,15.870967741935484,2,0.9837757188644043,0.016224162016249558,1.1911934633067837e-07,0.9837757188644043,0.0,206.0,0.066,0.142,0.121,0.152,3.1,6.3,83.9,0.4536585365853658,81.6,0.357,0.74,62.7,0.531,0.364,31.43,40.91,10.0,54.29,4.29
