player.name,season,player.team.code,player.team.tvCodes,player.team.name,minutesPlayed,Height,offensiveReboundsPercentage,defensiveReboundsPercentage,assistsRatio,turnoversRatio,blocks,steals,pointsScored,usageProxy,pir,freeThrowsRate,freeThrowsPercentage,fieldGoalsAttempted,twoPointersPercentage,threePointersPercentage,3FGA_Pct,Corner_3FGA_Pct,0_1m_FGA_Pct,1_3.5m_FGA_Pct,3.5m_3pt_FGA_Pct
"HALL, LANGSTON",2020,RED,CZV,Crvena Zvezda Meridianbet Belgrade,16.219047619047622,193.0,0.040999999999999995,0.086,0.28300000000000003,0.18100000000000002,1.0,8.3,53.2,0.6042278332354668,42.0,0.085,1.0,51.7,0.41600000000000004,0.414,27.36,6.9,5.66,37.74,29.25
"GIST, JAMES",2020,MUN,BAY,FC Bayern Munich,21.571014492753623,204.99999999999997,0.062,0.111,0.095,0.142,3.6,9.5,75.9,0.33841709217952165,56.9,0.435,0.638,64.0,0.479,0.16699999999999998,11.11,16.67,14.81,44.44,29.63
"EDDIE, JARELL",2020,ULK,FNB,Fenerbahce Beko Istanbul,16.986458333333335,200.99999999999997,0.02,0.134,0.07200000000000001,0.122,2.2,5.0,104.9,0.3296743729686637,74.9,0.154,0.905,75.5,0.5,0.449,72.06,9.18,2.94,13.97,11.03
"DIBARTOLOMEO, JOHN",2020,TEL,MTA,Maccabi Rapyd Tel Aviv,10.44855072463768,183.0,0.035,0.078,0.221,0.087,1.9,13.5,83.6,0.43068173937166243,94.2,0.24600000000000002,0.938,62.400000000000006,0.529,0.375,73.85,18.75,1.54,13.85,10.77
"DUVERIOGLU, AHMET",2020,ULK,FNB,Fenerbahce Beko Istanbul,11.531666666666666,209.0,0.147,0.141,0.196,0.196,6.0,9.8,82.9,0.3815580286168522,100.3,0.46299999999999997,0.516,50.5,0.701,0.0,0.0,0.0,38.81,59.7,1.49
"MILAKNIS, ARTURAS",2020,ZAL,ZAL,Zalgiris Kaunas,18.545333333333332,195.0,0.009000000000000001,0.062,0.126,0.077,1.4,9.1,104.7,0.3073549500323532,78.2,0.045,1.0,78.3,0.483,0.47,74.11,30.12,0.0,17.86,8.04
"GEBEN, MARTINAS",2020,ZAL,ZAL,Zalgiris Kaunas,8.062626262626262,208.0,0.134,0.20600000000000002,0.159,0.151,5.0,10.0,90.4,0.4465046354297169,124.7,0.485,0.727,56.9,0.618,0.0,0.0,0.0,27.94,63.24,8.82
"JAGODIC-KURIDZA, MARKO",2020,RED,CZV,Crvena Zvezda Meridianbet Belgrade,18.7093137254902,204.99999999999997,0.07,0.13,0.175,0.102,1.4,6.0,68.3,0.3420756150601304,71.1,0.28800000000000003,0.775,64.2,0.382,0.35100000000000003,26.62,54.05,7.91,53.96,11.51
"FERNANDEZ, RUDY",2020,MAD,RMB,Real Madrid,15.435714285714283,196.0,0.008,0.079,0.16899999999999998,0.079,1.5,6.9,76.8,0.4664507172605276,63.0,0.08900000000000001,0.846,72.4,0.316,0.34600000000000003,86.99,2.36,0.0,8.9,4.11
"RIVERS, KC",2020,DYR,ZEN,Zenit St Petersburg,22.307657657657657,196.0,0.034,0.111,0.096,0.057999999999999996,1.2,7.7,87.0,0.3137935908567736,64.7,0.051,0.455,82.7,0.48100000000000004,0.355,64.19,16.67,2.79,17.21,15.81
