player.name,season,player.team.code,gamesPlayed,minutesPerGame,pointsPerGame,reboundsPerGame,assistsPerGame,stealsPerGame,blocksPerGame,turnoversPerGame,pirPerGame,twoPointersPercentage,threePointersPercentage,freeThrowsPercentage
"DRAGIC, ZORAN",2020,BAS,33.0,17.97020202020202,8.5,1.6,0.9,0.6,0.0,1.2,6.8,51.1,28.4,78.7
"DOBRIC, OGNJEN",2020,RED,32.0,18.619791666666668,8.2,2.0,0.8,0.9,0.0,1.1,7.0,39.8,45.6,85.7
"JEAN-CHARLES, LIVIO",2020,OLY,29.0,17.529885057471265,6.3,3.2,0.5,0.6,0.7,1.2,7.1,66.7,27.3,87.5
"WEILER-BABB, NICK",2020,MUN,33.0,23.606565656565657,6.3,3.2,2.2,1.2,0.2,1.2,7.1,35.5,34.0,80.7
"CARROLL, JAYCEE",2020,MAD,31.0,14.875806451612902,9.4,1.1,0.5,0.2,0.0,0.8,7.1,63.3,40.3,94.4
"JANKUNAS, PAULIUS",2020,ZAL,34.0,15.883333333333333,3.9,4.4,1.0,0.5,0.1,0.8,7.1,50.8,27.6,91.1
"BOLOMBOY, JOEL",2020,CSK,25.0,16.925333333333334,5.4,3.8,0.3,0.6,0.5,0.8,7.2,62.3,25.0,77.1
"SANLI, SERTAC",2020,IST,34.0,14.21813725490196,7.8,2.2,0.6,0.4,0.5,0.6,7.3,66.1,34.9,81.5
"BAKO, ISMAEL",2020,ASV,27.0,14.375308641975309,5.6,3.6,0.4,0.5,0.8,0.8,7.4,60.0,0.0,87.8
"PLEISS, TIBOR",2020,IST,24.0,12.033333333333331,6.8,2.7,0.5,0.2,0.3,0.8,7.5,60.2,41.2,88.9
"JONES, CHRIS",2020,TEL,34.0,17.49313725490196,7.0,1.8,2.8,0.9,0.1,1.4,7.5,53.8,36.2,75.0
"DIOT, ANTOINE",2020,ASV,30.0,18.737777777777776,5.9,2.0,3.0,0.7,0.0,1.5,7.6,55.6,52.5,70.6
"LO, MAODO",2020,BER,27.0,21.56851851851852,9.5,1.3,3.1,0.6,0.0,2.1,7.6,51.9,34.6,88.6
"BARON, BILLY",2020,DYR,39.0,18.664529914529915,9.6,1.4,1.7,0.4,0.0,0.9,7.8,45.3,44.8,86.5
"HERMANNSSON, MARTIN",2020,PAM,29.0,17.71206896551724,6.9,1.5,3.4,0.5,0.0,1.3,7.8,45.8,38.3,87.0
"LLULL, SERGIO",2020,MAD,26.0,17.73717948717949,8.7,1.5,3.0,0.4,0.0,0.8,7.8,41.5,33.0,86.3
"SEELEY, DENNIS",2020,MUN,27.0,20.337654320987653,8.1,1.0,2.2,0.7,0.0,1.5,7.8,46.1,51.5,83.9
"CALOIARO, ANGELO",2020,TEL,33.0,25.58333333333333,5.9,3.4,1.7,0.8,0.1,0.8,7.8,57.5,31.7,81.8
"LAPROVITTOLA, NICOLAS",2020,MAD,34.0,17.630392156862744,6.8,1.6,3.8,0.7,0.0,1.6,8.1,43.9,34.7,86.8
"ELLIS, OCTAVIUS",2020,OLY,33.0,14.293434343434344,5.9,4.1,0.4,0.4,0.7,1.2,8.1,72.6,0.0,79.2
"KURIC, KYLE",2020,BAR,39.0,18.822222222222223,8.7,1.6,0.5,0.4,0.1,0.6,8.2,55.1,56.2,96.1
"BARTHEL, DANILO",2020,ULK,29.0,21.82068965517241,6.3,3.1,1.3,0.5,0.2,1.2,8.2,57.8,41.2,88.4
"DAVIDOVAC, DEJAN",2020,RED,33.0,22.6510101010101,7.2,2.8,1.6,1.0,0.2,1.1,8.3,56.6,37.8,78.0
"GIFFEY, NIELS",2020,BER,24.0,20.03333333333333,8.1,2.9,1.4,0.8,0.4,1.3,8.3,52.5,41.8,79.2
"SINGLETON, CHRIS",2020,IST,41.0,22.03048780487805,6.1,3.8,0.6,0.7,0.5,0.6,8.3,48.7,39.6,81.3
"ABALDE, ALBERTO",2020,MAD,39.0,19.49188034188034,7.2,2.7,2.3,0.5,0.0,1.0,8.3,47.0,43.5,84.1
"LEKAVICIUS, LUKAS",2020,ZAL,33.0,18.34292929292929,8.2,1.2,2.4,0.5,0.0,1.6,8.3,56.8,50.0,86.4
"JEKIRI, TONYE",2020,BAS,30.0,18.84555555555556,6.0,4.9,1.9,0.7,0.4,1.5,8.4,51.0,0.0,64.3
"MOERMAN, ADRIEN",2020,IST,41.0,20.50325203252033,6.4,4.6,1.1,0.6,0.1,1.0,8.5,60.5,34.3,56.7
"BROWN, LORENZO",2020,ULK,37.0,22.992792792792795,9.5,2.2,3.5,1.3,0.0,2.1,8.6,47.0,32.7,80.4
"POYTHRESS, ALEX",2020,DYR,32.0,18.77239583333333,8.6,4.3,0.5,0.6,0.7,1.1,8.8,61.6,0.0,71.1
"BRYANT, ELIJAH",2020,TEL,34.0,23.325490196078437,9.8,3.0,2.0,0.9,0.1,1.6,8.8,48.3,36.9,84.7
"SANT-ROOS, HOWARD",2020,PAN,32.0,24.367708333333333,7.2,2.4,3.7,1.5,0.2,1.8,8.9,46.2,34.8,80.9
"PRINTEZIS, GEORGIOS",2020,OLY,31.0,18.162365591397847,8.5,2.7,1.0,0.3,0.1,1.2,8.9,61.2,43.6,56.9
"WHITE, AARON",2020,PAN,33.0,22.391414141414145,7.3,4.0,1.0,0.5,0.2,0.7,9.0,61.1,36.5,80.6
"VAN ROSSOM, SAM",2020,PAM,33.0,22.514646464646464,7.3,2.6,3.8,0.7,0.1,2.0,9.2,56.5,35.0,87.0
